,Id,Total_intensity_hr,Calories_hr,steps_hr
0,1503960366,16.170153417015342,78.50348675034867,522.3793584379358
1,1624580081,8.039402173913043,62.47282608695652,241.50815217391303
2,1644430081,10.519774011299434,118.82062146892656,307.80649717514126
3,1844505072,5.021887824897401,66.59507523939808,109.35978112175103
4,1927972279,1.857336956521739,91.50407608695652,38.58695652173913
5,2022484408,17.03125,105.47961956521739,477.8695652173913
6,2026352035,10.8125,64.9116847826087,233.78804347826087
7,2320127002,8.742857142857142,72.55510204081632,198.68707482993196
8,2347167796,14.521739130434783,88.71739130434783,413.85748792270533
9,2873212765,15.101902173913043,80.24320652173913,318.11141304347825
10,3372868164,15.379237288135593,81.75635593220339,290.375
11,3977333714,15.22844827586207,65.08908045977012,471.61494252873564
12,4020332650,4.35792349726776,101.00136612021858,93.44125683060109
13,4057192912,4.8977272727272725,89.19318181818181,173.92045454545453
14,4319703577,11.310773480662984,85.50276243093923,289.31491712707185
15,4388161847,14.31156462585034,128.11836734693878,435.05442176870747
16,4445114986,9.793197278911565,92.1374149659864,202.1061224489796
17,4558609924,14.449728260869565,85.66032608695652,323.2459239130435
18,4702921684,12.931600547195622,125.70588235294117,363.28180574555404
19,5553957443,12.843835616438357,79.63561643835617,365.6246575342466
20,5577150313,19.8954802259887,142.3954802259887,351.01553672316385
21,6117666160,12.540909090909091,91.75454545454545,281.32272727272726
22,6290855005,10.6,113.34887218045112,246.13233082706768
23,6775888955,4.3737704918032785,91.0672131147541,107.1655737704918
24,6962181067,14.87568306010929,83.96311475409836,414.7827868852459
25,7007744171,17.580698835274543,110.03161397670549,489.86522462562397
26,7086361926,13.56343792633015,108.24147339699863,392.22783083219645
27,8053475328,17.949659863945577,124.2312925170068,622.3986394557824
28,8253242879,9.106728538283063,78.45011600928075,285.00696055684455
29,8378563200,14.858503401360544,144.7986394557823,366.94557823129253
30,8583815059,9.130919220055711,110.58774373259052,245.40389972144845
31,8792009665,4.434523809523809,84.43452380952381,79.98511904761905
32,8877689391,19.081632653061224,143.8721088435374,674.317006802721
