Id,TotalMinutesAsleep,TotalTimeInBed,count_sleepday
1503960366,360.28,383.2,25
1644430081,294.0,346.0,4
1844505072,652.0,961.0,3
1927972279,417.0,437.8,5
2026352035,506.17857142857144,537.6428571428571,28
2320127002,61.0,69.0,1
2347167796,446.8,491.3333333333333,15
3977333714,293.64285714285717,461.14285714285717,28
4020332650,349.375,379.75,8
4319703577,476.65384615384613,501.96153846153845,26
4388161847,403.125,426.2083333333333,24
4445114986,385.17857142857144,416.82142857142856,28
4558609924,127.6,140.0,5
4702921684,421.14285714285717,441.9642857142857,28
5553957443,463.48387096774195,505.8709677419355,31
5577150313,432.0,460.61538461538464,26
6117666160,478.77777777777777,510.1666666666667,18
6775888955,349.6666666666667,369.0,3
6962181067,448.0,466.1290322580645,31
7007744171,68.5,71.5,2
7086361926,453.125,466.4166666666667,24
8053475328,297.0,301.6666666666667,3
8378563200,443.34375,483.3125,32
8792009665,435.6666666666667,453.8,15
